ID,RegioS,Code_1,Naam_2,SorteringNaam_3,Code_4,Naam_5,Code_6,Naam_7,Code_8,Naam_9,Code_10,Naam_11,Code_12,Naam_13,Code_14,Naam_15,Code_16,Naam_17,Code_18,Naam_19,Code_20,Naam_21,Code_22,Naam_23,Code_24,Naam_25,Code_26,Naam_27,Code_28,Naam_29,Code_30,Naam_31,Code_32,Naam_33,Code_34,Naam_35,Code_36,Naam_37,Code_38,Naam_39,Code_40,Naam_41,Code_42,Naam_43,Code_44,Naam_45,Code_46,Omschrijving_47,Code_48,Omschrijving_49,Inwonertal_50,Omgevingsadressendichtheid_51
154,Kapelle,GM0678    ,Kapelle                                           ,Kapelle                                           ,AM24      ,Zeeland                                           ,AR11      ,Zeeland-West-Brabant                              ,CR32      ,Overig Zeeland                                    ,CS320     ,Overig Zeeland                                    ,CP3200    ,Overig Zeeland                                    ,GG5006    ,GGD Zeeland                                       ,JZ38      ,Zeeland                                           ,KK45      ,Zuidwest                                          ,LB2902    ,Walcheren en Zuid-Beveland                        ,LG11      ,Zuidwestelijk Akkerbouwgebied                     ,LD03      ,West-Nederland                                    ,PV29      ,Zeeland                                           ,.         ,.                                                 ,ES24      ,Zeeland                                           ,MC31      ,Oosterschelde regio                               ,RA1222    ,Zeeland                                           ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR04      ,Deltagebied                                       ,VT23      ,Zeeland   ,VR19      ,Zeeland                                           ,ZK27      ,Zeeland                                           ,3         ,10 000 tot 20 000 inwoners                        ,4         ,Weinig stedelijk         ,12691,645
155,Katwijk,GM0537    ,Katwijk                                           ,Katwijk                                           ,AM19      ,Holland Rijnland                                  ,AR07      ,Den Haag                                          ,CR25      ,Agglomeratie Leiden en Bollenstreek               ,CS250     ,Agglomeratie Leiden en Bollenstreek               ,CP2500    ,Agglomeratie Leiden en Bollenstreek               ,GG4506    ,GGD Hollands-Midden                               ,JZ18      ,Holland Rijnland                                  ,KK45      ,Zuidwest                                          ,LB2808    ,Bollenstreek                                      ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES21      ,Holland Rijnland                                  ,MC26      ,Zuid-Holland-Noord                                ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR02      ,Noordzeebadplaatsen                               ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK28      ,Zuid-Holland Noord                                ,5         ,50 000 tot 100 000 inwoners                       ,2         ,Sterk stedelijk          ,65754,2153
156,Kerkrade,GM0928    ,Kerkrade                                          ,Kerkrade                                          ,AM30      ,Zuid-Limburg                                      ,AR09      ,Limburg                                           ,CR39      ,Zuid-Limburg                                      ,CS390     ,Zuid-Limburg                                      ,CP3900    ,Zuid-Limburg                                      ,GG6106    ,GGD Zuid-Limburg                                  ,JZ41      ,Zuid-Limburg                                      ,KK44      ,Zuid                                              ,LB3102    ,Zuid-Limburg                                      ,LG14      ,Zuid-Limburg                                      ,LD04      ,Zuid-Nederland                                    ,PV31      ,Limburg                                           ,.         ,.                                                 ,ES30      ,Zuid-Limburg                                      ,MC39      ,Gewest Zuid-Limburg                               ,RA1428    ,Zuid-Limburg                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR15      ,Zuid-Limburg                                      ,VT25      ,Zuid-Limbu,VR24      ,Limburg-Zuid                                      ,ZK31      ,Zuid-Limburg                                      ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,45744,1743
157,Koggenland,GM1598    ,Koggenland                                        ,Koggenland                                        ,AM15      ,Noord-Holland Noord                               ,AR02      ,Noord-Holland                                     ,CR18      ,Kop van Noord-Holland                             ,CS180     ,Kop van Noord-Holland                             ,CP1800    ,Kop van Noord-Holland                             ,GG2707    ,GGD Hollands-Noorden                              ,JZ05      ,West Friesland                                    ,KK41      ,Noordwest                                         ,LB2705    ,West-Friesland en omgeving                        ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES15      ,Noord-Holland Noord                               ,MC22      ,West-Friesland                                    ,RA0614    ,Noord-Holland Noord                               ,RT11      ,Gerechtshof Amsterdam                             ,TR03      ,IJsselmeerkust                                    ,VT17      ,Noord-Holl,VR10      ,Noord-Holland-Noord                               ,ZK18      ,Noord-Holland Noord                               ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,22752,428
158,Krimpen aan den IJssel,GM0542    ,Krimpen aan den IJssel                            ,Krimpen aan den IJssel                            ,AM22      ,Rijnmond                                          ,AR08      ,Rotterdam                                         ,CR29      ,Groot-Rijnmond                                    ,CS291     ,Rijnmond                                          ,CP2910    ,Rijnmond                                          ,GG4607    ,GGD Rotterdam-Rijnmond                            ,JZ29      ,Rijnmond                                          ,KK45      ,Zuidwest                                          ,LB2806    ,Krimpenerwaard en Oostelijk Rijnland              ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC29      ,Rijnmond                                          ,RA0919    ,Rijnmond                                          ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT18      ,Rotterdam-,VR17      ,Rotterdam-Rijnmond                                ,ZK20      ,Rotterdam                                         ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,29533,1971
159,Krimpenerwaard,GM1931    ,Krimpenerwaard                                    ,Krimpenerwaard                                    ,AM20      ,Midden-Holland                                    ,AR07      ,Den Haag                                          ,CR28      ,Oost-Zuid-Holland                                 ,CS280     ,Oost-Zuid-Holland                                 ,CP2800    ,Oost-Zuid-Holland                                 ,GG4506    ,GGD Hollands-Midden                               ,JZ27      ,Midden Holland                                    ,KK45      ,Zuidwest                                          ,LB2806    ,Krimpenerwaard en Oostelijk Rijnland              ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES22      ,Midden-Holland                                    ,MC27      ,Zuid-Holland-Oost                                 ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK13      ,Midden-Holland                                    ,5         ,50 000 tot 100 000 inwoners                       ,4         ,Weinig stedelijk         ,56319,783
160,Laarbeek,GM1659    ,Laarbeek                                          ,Laarbeek                                          ,AM32      ,Helmond-De Peel                                   ,AR10      ,Oost-Brabant                                      ,CR36      ,Zuidoost-Noord-Brabant                            ,CS360     ,Zuidoost-Noord-Brabant                            ,CP3600    ,Zuidoost-Noord-Brabant                            ,GG5608    ,GGD Brabant-Zuidoost                              ,JZ39      ,Zuidoost-Brabant                                  ,KK44      ,Zuid                                              ,LB3010    ,Westelijk Peelgebied                              ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES26      ,Metropoolregio Eindhoven                          ,MC37      ,Zuidoost-Brabant                                  ,RA1326    ,Zuidoost-Brabant                                  ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT26      ,Zuidoost-B,VR22      ,Brabant-Zuidoost                                  ,ZK30      ,Zuidoost-Brabant                                  ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,22530,632
161,Landerd,GM1685    ,Landerd                                           ,Landerd                                           ,AM27      ,Noordoost-Brabant                                 ,AR10      ,Oost-Brabant                                      ,CR35      ,Noordoost-Noord-Brabant                           ,CS352     ,Overig Noordoost-Noord-Brabant                    ,CP3520    ,Overig Noordoost-Noord-Brabant                    ,GG5406    ,GGD Hart voor Brabant                             ,JZ33      ,Noordoost Brabant                                 ,KK44      ,Zuid                                              ,LB3009    ,Maaskant en Land van Cuijk                        ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES27      ,Noordoost-Brabant                                 ,MC36      ,Noord-Oost-Brabant                                ,RA1325    ,Noordoost-Brabant                                 ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT16      ,Noord-Brab,VR21      ,Brabant-Noord                                     ,ZK19      ,Noordoost-Brabant                                 ,3         ,10 000 tot 20 000 inwoners                        ,5         ,Niet stedelijk           ,15730,485
162,Landgraaf,GM0882    ,Landgraaf                                         ,Landgraaf                                         ,AM30      ,Zuid-Limburg                                      ,AR09      ,Limburg                                           ,CR39      ,Zuid-Limburg                                      ,CS390     ,Zuid-Limburg                                      ,CP3900    ,Zuid-Limburg                                      ,GG6106    ,GGD Zuid-Limburg                                  ,JZ41      ,Zuid-Limburg                                      ,KK44      ,Zuid                                              ,LB3102    ,Zuid-Limburg                                      ,LG14      ,Zuid-Limburg                                      ,LD04      ,Zuid-Nederland                                    ,PV31      ,Limburg                                           ,.         ,.                                                 ,ES30      ,Zuid-Limburg                                      ,MC39      ,Gewest Zuid-Limburg                               ,RA1428    ,Zuid-Limburg                                      ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR15      ,Zuid-Limburg                                      ,VT25      ,Zuid-Limbu,VR24      ,Limburg-Zuid                                      ,ZK31      ,Zuid-Limburg                                      ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,37457,1457
163,Landsmeer,GM0415    ,Landsmeer                                         ,Landsmeer                                         ,AM17      ,Zaanstreek/Waterland                              ,AR02      ,Noord-Holland                                     ,CR23      ,Groot-Amsterdam                                   ,CS232     ,Overig Groot-Amsterdam                            ,CP2321    ,Overig Agglomeratie Amsterdam                     ,GG7306    ,GGD Zaanstreek/Waterland                          ,JZ09      ,Zaanstreek-Waterland                              ,KK41      ,Noordwest                                         ,LB2706    ,Waterland en N.-Hollandse Droogmakerijen          ,LG08      ,Waterland en Droogmakerijen                       ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC21      ,Agglomeratie Amsterdam                            ,RA0615    ,Zaanstreek en Waterland                           ,RT11      ,Gerechtshof Amsterdam                             ,TR06      ,Hollands-Utrechtse meren                          ,VT22      ,Zaanstreek,VR11      ,Zaanstreek-Waterland                              ,ZK26      ,Zaanstreek/Waterland                              ,3         ,10 000 tot 20 000 inwoners                        ,3         ,Matig stedelijk          ,11492,1037
164,Langedijk,GM0416    ,Langedijk                                         ,Langedijk                                         ,AM15      ,Noord-Holland Noord                               ,AR02      ,Noord-Holland                                     ,CR19      ,Alkmaar en omgeving                               ,CS190     ,Alkmaar en omgeving                               ,CP1900    ,Alkmaar en omgeving                               ,GG2707    ,GGD Hollands-Noorden                              ,JZ06      ,Alkmaar (Noord-Kennemerland)                      ,KK41      ,Noordwest                                         ,LB2705    ,West-Friesland en omgeving                        ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES15      ,Noord-Holland Noord                               ,MC24      ,Noord-Kennemerland                                ,RA0614    ,Noord-Holland Noord                               ,RT11      ,Gerechtshof Amsterdam                             ,TR17      ,Overig Nederland                                  ,VT17      ,Noord-Holl,VR10      ,Noord-Holland-Noord                               ,ZK18      ,Noord-Holland Noord                               ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,28157,939
165,Lansingerland,GM1621    ,Lansingerland                                     ,Lansingerland                                     ,AM34      ,Zuid-Holland Centraal                             ,AR08      ,Rotterdam                                         ,CR29      ,Groot-Rijnmond                                    ,CS291     ,Rijnmond                                          ,CP2910    ,Rijnmond                                          ,GG4607    ,GGD Rotterdam-Rijnmond                            ,JZ29      ,Rijnmond                                          ,KK45      ,Zuidwest                                          ,LB2809    ,Westland en Zuidhollandse Droogmakerijen          ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC29      ,Rijnmond                                          ,RA0919    ,Rijnmond                                          ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT18      ,Rotterdam-,VR17      ,Rotterdam-Rijnmond                                ,ZK33      ,Westland Schieland Delfland                       ,5         ,50 000 tot 100 000 inwoners                       ,3         ,Matig stedelijk          ,62396,1310
166,Laren (NH.),GM0417    ,Laren                                             ,Laren                                             ,AM12      ,Gooi en Vechtstreek                               ,AR04      ,Midden-Nederland                                  ,CR24      ,Het Gooi en Vechtstreek                           ,CS240     ,Het Gooi en Vechtstreek                           ,CP2400    ,Het Gooi en Vechtstreek                           ,GG3606    ,GGD Gooi en Vechtstreek                           ,JZ16      ,Gooi en Vechtstreek                               ,KK41      ,Noordwest                                         ,LB2707    ,'t Gein en Gooiland                               ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV27      ,Noord-Holland                                     ,.         ,.                                                 ,ES16      ,Noord-Holland Zuid                                ,MC20      ,Gooi en Vechtstreek                               ,RA0511    ,Gooi- en Vechtstreek                              ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT07      ,Gooi en Ve,VR14      ,Gooi en Vechtstreek                               ,ZK21      ,'t Gooi                                           ,3         ,10 000 tot 20 000 inwoners                        ,3         ,Matig stedelijk          ,11274,1094
167,Leeuwarden,GM0080    ,Leeuwarden                                        ,Leeuwarden                                        ,AM02      ,Friesland                                         ,AR05      ,Noord-Nederland                                   ,CR04      ,Noord-Friesland                                   ,CS040     ,Noord-Friesland                                   ,CP0400    ,Noord-Friesland                                   ,GG7206    ,GGD Fryslân                                       ,JZ02      ,Friesland (Fryslân)                               ,KK42      ,Noord                                             ,LB2102    ,Weidestreek in Friesland                          ,LG03      ,Noordelijk Weidegebied                            ,LD01      ,Noord-Nederland                                   ,PV21      ,Friesland                                         ,.         ,.                                                 ,ES02      ,Friesland                                         ,MC04      ,Friesland Noord                                   ,RA0103    ,Friesland                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT04      ,Friesland ,VR02      ,Fryslân                                           ,ZK08      ,Friesland                                         ,6         ,100 000 tot 150 000 inwoners                      ,2         ,Sterk stedelijk          ,124058,2134
168,Leiden,GM0546    ,Leiden                                            ,Leiden                                            ,AM19      ,Holland Rijnland                                  ,AR07      ,Den Haag                                          ,CR25      ,Agglomeratie Leiden en Bollenstreek               ,CS250     ,Agglomeratie Leiden en Bollenstreek               ,CP2500    ,Agglomeratie Leiden en Bollenstreek               ,GG4506    ,GGD Hollands-Midden                               ,JZ18      ,Holland Rijnland                                  ,KK45      ,Zuidwest                                          ,LB2804    ,Westelijk Rijnland                                ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES21      ,Holland Rijnland                                  ,MC26      ,Zuid-Holland-Noord                                ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK28      ,Zuid-Holland Noord                                ,6         ,100 000 tot 150 000 inwoners                      ,1         ,Zeer sterk stedelijk     ,125174,3765
169,Leiderdorp,GM0547    ,Leiderdorp                                        ,Leiderdorp                                        ,AM19      ,Holland Rijnland                                  ,AR07      ,Den Haag                                          ,CR25      ,Agglomeratie Leiden en Bollenstreek               ,CS250     ,Agglomeratie Leiden en Bollenstreek               ,CP2500    ,Agglomeratie Leiden en Bollenstreek               ,GG4506    ,GGD Hollands-Midden                               ,JZ18      ,Holland Rijnland                                  ,KK45      ,Zuidwest                                          ,LB2804    ,Westelijk Rijnland                                ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES21      ,Holland Rijnland                                  ,MC26      ,Zuid-Holland-Noord                                ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK28      ,Zuid-Holland Noord                                ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,27059,2442
170,Leidschendam-Voorburg,GM1916    ,Leidschendam-Voorburg                             ,Leidschendam+Voorburg                             ,AM34      ,Zuid-Holland Centraal                             ,AR07      ,Den Haag                                          ,CR26      ,Agglomeratie 's-Gravenhage                        ,CS260     ,Agglomeratie 's-Gravenhage                        ,CP2601    ,Aggl. 's-Gravenhage excl. Zoetermeer              ,GG7014    ,GGD Haaglanden                                    ,JZ24      ,Haaglanden                                        ,KK45      ,Zuidwest                                          ,LB2804    ,Westelijk Rijnland                                ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES23      ,Rotterdam/Den Haag                                ,MC28      ,Haaglanden/Westland                               ,RA1020    ,Haaglanden en Nieuwe Waterweg Noord               ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT09      ,Haaglanden,VR15      ,Haaglanden                                        ,ZK10      ,Haaglanden                                        ,5         ,50 000 tot 100 000 inwoners                       ,1         ,Zeer sterk stedelijk     ,76553,2909
171,Lelystad,GM0995    ,Lelystad                                          ,Lelystad                                          ,AM11      ,Flevoland                                         ,AR04      ,Midden-Nederland                                  ,CR40      ,Flevoland                                         ,CS400     ,Flevoland                                         ,CP4002    ,Flevoland-Midden                                  ,GG2209    ,GGD Flevoland                                     ,JZ08      ,Flevoland                                         ,KK41      ,Noordwest                                         ,LB2402    ,Zuidelijke IJsselmeerpolders                      ,LG06      ,IJsselmeerpolders                                 ,LD02      ,Oost-Nederland                                    ,PV24      ,Flevoland                                         ,.         ,.                                                 ,ES06      ,Flevoland                                         ,MC18      ,Flevoland                                         ,RA0410    ,Flevoland                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR03      ,IJsselmeerkust                                    ,VT03      ,Flevoland ,VR25      ,Flevoland                                         ,ZK07      ,Flevoland                                         ,5         ,50 000 tot 100 000 inwoners                       ,3         ,Matig stedelijk          ,78619,1374
172,Leudal,GM1640    ,Leudal                                            ,Leudal                                            ,AM33      ,Midden-Limburg                                    ,AR09      ,Limburg                                           ,CR38      ,Midden-Limburg                                    ,CS380     ,Midden-Limburg                                    ,CP3800    ,Midden-Limburg                                    ,GG6011    ,GGD Limburg-Noord                                 ,JZ43      ,Midden-Limburg West                               ,KK44      ,Zuid                                              ,LB3101    ,Noord-Limburg                                     ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV31      ,Limburg                                           ,.         ,.                                                 ,ES29      ,Noord- en Midden-Limburg                          ,MC38      ,Gewest Limburg-Noord                              ,RA1427    ,Noord- en Midden-Limburg                          ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR14      ,"O.-Brabant, N.- en M.-Limburg, Nijmegen           ",VT13      ,Noord- en ,VR23      ,Limburg-Noord                                     ,ZK17      ,Noord- en Midden-Limburg                          ,4         ,20 000 tot 50 000 inwoners                        ,5         ,Niet stedelijk           ,35896,388
173,Leusden,GM0327    ,Leusden                                           ,Leusden                                           ,AM14      ,Amersfoort                                        ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1702    ,Stadsgewest Amersfoort                            ,GG2514    ,GGD Regio Utrecht                                 ,JZ20      ,Eemland                                           ,KK41      ,Noordwest                                         ,LB2605    ,Zandgebied in Utrecht                             ,LG05      ,Centraal Veehouderijgebied                        ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES13      ,Amersfoort                                        ,MC16      ,Eem en Vallei                                     ,RA0513    ,Amersfoort en omgeving                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR07      ,Utrechtse Heuvelrug en 't Gooi                    ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,30399,1259
174,Lingewaard,GM1705    ,Lingewaard                                        ,Lingewaard                                        ,AM07      ,Midden-Gelderland                                 ,AR03      ,Gelderland                                        ,CR15      ,Arnhem/Nijmegen                                   ,CS150     ,Arnhem/Nijmegen                                   ,CP1500    ,Arnhem/Nijmegen                                   ,GG1911    ,Veiligheids- en Gezondheidsregio Gelderland-Midden,JZ28      ,Arnhem                                            ,KK43      ,Oost                                              ,LB2504    ,Oostelijke Betuwe en Nijmegen                     ,LG10      ,Rivierengebied                                    ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES08      ,Arnhem/Nijmegen                                   ,MC14      ,Arnhem/Nijmegen                                   ,RA0309    ,Midden-Gelderland                                 ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR09      ,Gelders Rivierengebied                            ,VT05      ,Gelderland,VR07      ,Gelderland-Midden                                 ,ZK04      ,Arnhem                                            ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,46606,952
175,Lisse,GM0553    ,Lisse                                             ,Lisse                                             ,AM19      ,Holland Rijnland                                  ,AR07      ,Den Haag                                          ,CR25      ,Agglomeratie Leiden en Bollenstreek               ,CS250     ,Agglomeratie Leiden en Bollenstreek               ,CP2500    ,Agglomeratie Leiden en Bollenstreek               ,GG4506    ,GGD Hollands-Midden                               ,JZ18      ,Holland Rijnland                                  ,KK45      ,Zuidwest                                          ,LB2808    ,Bollenstreek                                      ,LG07      ,Westelijk Holland                                 ,LD03      ,West-Nederland                                    ,PV28      ,Zuid-Holland                                      ,.         ,.                                                 ,ES21      ,Holland Rijnland                                  ,MC26      ,Zuid-Holland-Noord                                ,RA0818    ,Rijnstreek                                        ,RT13      ,Gerechtshof Den Haag                              ,TR17      ,Overig Nederland                                  ,VT10      ,Hollands-M,VR16      ,Hollands-Midden                                   ,ZK28      ,Zuid-Holland Noord                                ,4         ,20 000 tot 50 000 inwoners                        ,2         ,Sterk stedelijk          ,22957,1644
176,Lochem,GM0262    ,Lochem                                            ,Lochem                                            ,AM06      ,Stedendriehoek en Noordwest Veluwe                ,AR03      ,Gelderland                                        ,CR14      ,Achterhoek                                        ,CS140     ,Achterhoek                                        ,CP1400    ,Achterhoek                                        ,GG1413    ,GGD Noord- en Oost-Gelderland                     ,JZ17      ,Midden IJssel / Oost Veluwe                       ,KK43      ,Oost                                              ,LB2508    ,Achterhoek                                        ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV25      ,Gelderland                                        ,.         ,.                                                 ,ES12      ,Stedendriehoek/Cleantech                          ,MC11      ,Stedendriehoek                                    ,RA0206    ,Stedendriehoek & Noord-Veluwe                     ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR10      ,Achterhoek                                        ,VT14      ,Noord- en ,VR06      ,Noord- en Oost-Gelderland                         ,ZK03      ,Apeldoorn/Zutphen                                 ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,33730,588
177,Loon op Zand,GM0809    ,Loon op Zand                                      ,Loon op Zand                                      ,AM26      ,Midden-Brabant                                    ,AR11      ,Zeeland-West-Brabant                              ,CR34      ,Midden-Noord-Brabant                              ,CS340     ,Midden-Noord-Brabant                              ,CP3400    ,Midden-Noord-Brabant                              ,GG5406    ,GGD Hart voor Brabant                             ,JZ35      ,Midden-Brabant                                    ,KK44      ,Zuid                                              ,LB3008    ,Midden-Noord-Brabant                              ,LG13      ,Zuidelijk Veehouderijgebied                       ,LD04      ,Zuid-Nederland                                    ,PV30      ,Noord-Brabant                                     ,.         ,.                                                 ,ES25      ,Hart van Brabant                                  ,MC35      ,Midden-Brabant                                    ,RA1324    ,Midden-Brabant                                    ,RT14      ,Gerechtshof 's-Hertogenbosch                      ,TR13      ,West- en Midden-Brabant                           ,VT15      ,Noord-Brab,VR20      ,Midden- en West-Brabant                           ,ZK12      ,Midden-Brabant                                    ,4         ,20 000 tot 50 000 inwoners                        ,3         ,Matig stedelijk          ,23407,1068
178,Lopik,GM0331    ,Lopik                                             ,Lopik                                             ,AM13      ,Midden-Utrecht                                    ,AR04      ,Midden-Nederland                                  ,CR17      ,Utrecht                                           ,CS170     ,Utrecht                                           ,CP1701    ,Utrecht-West                                      ,GG2514    ,GGD Regio Utrecht                                 ,JZ26      ,Lekstroom                                         ,KK41      ,Noordwest                                         ,LB2602    ,Westelijk Weidegebied in Utrecht                  ,LG09      ,Hollands/Utrechts Weidegebied                     ,LD03      ,West-Nederland                                    ,PV26      ,Utrecht                                           ,.         ,.                                                 ,ES14      ,U10/U16                                           ,MC19      ,Utrecht                                           ,RA0512    ,Utrecht en omgeving                               ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT20      ,Utrecht   ,VR09      ,Utrecht                                           ,ZK23      ,Utrecht                                           ,3         ,10 000 tot 20 000 inwoners                        ,5         ,Niet stedelijk           ,14471,363
179,Loppersum,GM0024    ,Loppersum                                         ,Loppersum                                         ,AM01      ,Groningen                                         ,AR05      ,Noord-Nederland                                   ,CR02      ,Delfzijl en omgeving                              ,CS020     ,Delfzijl en omgeving                              ,CP0200    ,Delfzijl en omgeving                              ,GG0111    ,GGD Groningen                                     ,JZ01      ,Groningen                                         ,KK42      ,Noord                                             ,LB2006    ,Oostelijk Hogeland                                ,LG01      ,Bouwhoek en Hogeland                              ,LD01      ,Noord-Nederland                                   ,PV20      ,Groningen                                         ,.         ,.                                                 ,ES01      ,Groningen                                         ,MC02      ,Noord-Groningen-Eemsmond                          ,RA0101    ,Groningen                                         ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR17      ,Overig Nederland                                  ,VT08      ,Groningen ,VR01      ,Groningen                                         ,ZK09      ,Groningen                                         ,2         ,5 000 tot 10 000 inwoners                         ,5         ,Niet stedelijk           ,9533,214
180,Losser,GM0168    ,Losser                                            ,Losser                                            ,AM05      ,Twente                                            ,AR06      ,Overijssel                                        ,CR12      ,Twente                                            ,CS120     ,Twente                                            ,CP1200    ,Twente                                            ,GG1106    ,GGD Regio Twente                                  ,JZ14      ,Twente                                            ,KK43      ,Oost                                              ,LB2303    ,Twente                                            ,LG04      ,Oostelijk Veehouderijgebied                       ,LD02      ,Oost-Nederland                                    ,PV23      ,Overijssel                                        ,.         ,.                                                 ,ES04      ,Twente                                            ,MC12      ,Twente                                            ,RA0205    ,Twente                                            ,RT12      ,Gerechtshof Arnhem-Leeuwarden                     ,TR11      ,"Twente, Salland en Vechtstreek                    ",VT19      ,Twente    ,VR05      ,Twente                                            ,ZK22      ,Twente                                            ,4         ,20 000 tot 50 000 inwoners                        ,4         ,Weinig stedelijk         ,22685,742
